input_order,module,target,target_owner,target_path,semantic_family,source_reference,source_reference_path,frozen_relpath,source_file_sha256,source_item_sha256,signature_start_line,signature_end_line,body_start_line,body_end_line,enclosing_impl_header,enclosing_impl_start_line,direct_call_count,private_helper_callee_count,generated_target_dependency_count,present_dependency_categories,proof_order_index,proof_tier,proof_tier_reason,source_manifest_relpath,transformation_manifest_relpath,dependency_manifest_relpath,harness_relpath
11,slice,core::slice::as_array,core::slice,core::slice::as_array,views-and-fixed-subranges,core/src/slice/mod.rs:853,core/src/slice/mod.rs,frozen_inputs/slice/rust-core-slice/mod.rs,58901fa6437dbd4d77c68427bbced0fc3a91a10fdb8bd2e233adf6a9ba27d2d5,efbfcb6441f004405e90bfcd0530b077ad2ce4f32d957ddff3107b2a9b669545,850,850,850,860,impl<T> [T] {,101,3,3,1,"['raw_pointer_or_provenance', 'unsafe']",96,2,depends on other generated targets,proof_manifests/011_core_slice_as_array/source_body.json,proof_manifests/011_core_slice_as_array/transformation_manifest.json,proof_manifests/011_core_slice_as_array/dependency_assumption_manifest.json,proof_harnesses/011_core_slice_as_array/harness.rs
12,slice,core::slice::as_chunks,core::slice,core::slice::as_chunks,iterator-splitting-and-chunking,core/src/slice/mod.rs:1399,core/src/slice/mod.rs,frozen_inputs/slice/rust-core-slice/mod.rs,58901fa6437dbd4d77c68427bbced0fc3a91a10fdb8bd2e233adf6a9ba27d2d5,9c4af13742dd8487899f401b86e30b861c36502191a1600057eb26d1ef9e7234,1396,1396,1396,1406,impl<T> [T] {,101,4,3,1,"['panic_or_bounds', 'unsafe']",123,2,depends on other generated targets,proof_manifests/012_core_slice_as_chunks/source_body.json,proof_manifests/012_core_slice_as_chunks/transformation_manifest.json,proof_manifests/012_core_slice_as_chunks/dependency_assumption_manifest.json,proof_harnesses/012_core_slice_as_chunks/harness.rs
13,slice,core::slice::as_chunks_mut,core::slice,core::slice::as_chunks_mut,iterator-splitting-and-chunking,core/src/slice/mod.rs:1555,core/src/slice/mod.rs,frozen_inputs/slice/rust-core-slice/mod.rs,58901fa6437dbd4d77c68427bbced0fc3a91a10fdb8bd2e233adf6a9ba27d2d5,53fb689ca4c691d2e432cbea572e07fcc1c5cd487734c27f9d0b82841f5b7ae8,1552,1552,1552,1562,impl<T> [T] {,101,4,3,1,"['panic_or_bounds', 'unsafe']",120,2,depends on other generated targets,proof_manifests/013_core_slice_as_chunks_mut/source_body.json,proof_manifests/013_core_slice_as_chunks_mut/transformation_manifest.json,proof_manifests/013_core_slice_as_chunks_mut/dependency_assumption_manifest.json,proof_harnesses/013_core_slice_as_chunks_mut/harness.rs
14,slice,core::slice::as_chunks_unchecked,core::slice,core::slice::as_chunks_unchecked,iterator-splitting-and-chunking,core/src/slice/mod.rs:1341,core/src/slice/mod.rs,frozen_inputs/slice/rust-core-slice/mod.rs,58901fa6437dbd4d77c68427bbced0fc3a91a10fdb8bd2e233adf6a9ba27d2d5,1af5889426d173ab1e019f11a75a4697ca2a0e9e0a280108402b7b5ca699ddc3,1338,1338,1338,1349,impl<T> [T] {,101,7,3,2,"['intrinsic', 'raw_pointer_or_provenance', 'unsafe']",97,2,depends on other generated targets,proof_manifests/014_core_slice_as_chunks_unchecked/source_body.json,proof_manifests/014_core_slice_as_chunks_unchecked/transformation_manifest.json,proof_manifests/014_core_slice_as_chunks_unchecked/dependency_assumption_manifest.json,proof_harnesses/014_core_slice_as_chunks_unchecked/harness.rs
15,slice,core::slice::as_chunks_unchecked_mut,core::slice,core::slice::as_chunks_unchecked_mut,iterator-splitting-and-chunking,core/src/slice/mod.rs:1501,core/src/slice/mod.rs,frozen_inputs/slice/rust-core-slice/mod.rs,58901fa6437dbd4d77c68427bbced0fc3a91a10fdb8bd2e233adf6a9ba27d2d5,010fedd7bf7435cf32f970fa8b916ebc3c94e0d0770c06b6c4361ce21c5ba4e4,1498,1498,1498,1509,impl<T> [T] {,101,7,3,2,"['intrinsic', 'raw_pointer_or_provenance', 'unsafe']",98,2,depends on other generated targets,proof_manifests/015_core_slice_as_chunks_unchecked_mut/source_body.json,proof_manifests/015_core_slice_as_chunks_unchecked_mut/transformation_manifest.json,proof_manifests/015_core_slice_as_chunks_unchecked_mut/dependency_assumption_manifest.json,proof_harnesses/015_core_slice_as_chunks_unchecked_mut/harness.rs
16,slice,core::slice::as_flattened,core::slice,core::slice::as_flattened,views-and-fixed-subranges,core/src/slice/mod.rs:5451,core/src/slice/mod.rs,frozen_inputs/slice/rust-core-slice/mod.rs,58901fa6437dbd4d77c68427bbced0fc3a91a10fdb8bd2e233adf6a9ba27d2d5,794295913933cd7019fdede0d3d701032f47d8c79b723ecff88f404d9a1cabff,5445,5445,5445,5455,"impl<T, const N: usize> [[T; N]] {",5411,7,3,2,"['intrinsic', 'panic_or_bounds', 'raw_pointer_or_provenance', 'unsafe']",99,2,depends on other generated targets,proof_manifests/016_core_slice_as_flattened/source_body.json,proof_manifests/016_core_slice_as_flattened/transformation_manifest.json,proof_manifests/016_core_slice_as_flattened/dependency_assumption_manifest.json,proof_harnesses/016_core_slice_as_flattened/harness.rs
17,slice,core::slice::as_flattened_mut,core::slice,core::slice::as_flattened_mut,views-and-fixed-subranges,core/src/slice/mod.rs:5493,core/src/slice/mod.rs,frozen_inputs/slice/rust-core-slice/mod.rs,58901fa6437dbd4d77c68427bbced0fc3a91a10fdb8bd2e233adf6a9ba27d2d5,d3fdd4bf0c5162b4000f8b7d767f7802944c5834053070e69dd3469f640dc5a2,5487,5487,5487,5497,"impl<T, const N: usize> [[T; N]] {",5411,7,3,2,"['intrinsic', 'panic_or_bounds', 'raw_pointer_or_provenance', 'unsafe']",100,2,depends on other generated targets,proof_manifests/017_core_slice_as_flattened_mut/source_body.json,proof_manifests/017_core_slice_as_flattened_mut/transformation_manifest.json,proof_manifests/017_core_slice_as_flattened_mut/dependency_assumption_manifest.json,proof_harnesses/017_core_slice_as_flattened_mut/harness.rs
18,slice,core::slice::as_mut_array,core::slice,core::slice::as_mut_array,views-and-fixed-subranges,core/src/slice/mod.rs:872,core/src/slice/mod.rs,frozen_inputs/slice/rust-core-slice/mod.rs,58901fa6437dbd4d77c68427bbced0fc3a91a10fdb8bd2e233adf6a9ba27d2d5,d2208668f0b01536cedf4b43a19beca6d879c2dca9e7fb2ba16b10a8110d0529,869,869,869,879,impl<T> [T] {,101,3,3,1,"['raw_pointer_or_provenance', 'unsafe']",101,2,depends on other generated targets,proof_manifests/018_core_slice_as_mut_array/source_body.json,proof_manifests/018_core_slice_as_mut_array/transformation_manifest.json,proof_manifests/018_core_slice_as_mut_array/dependency_assumption_manifest.json,proof_harnesses/018_core_slice_as_mut_array/harness.rs
19,slice,core::slice::as_mut_ptr,core::slice,core::slice::as_mut_ptr,raw-pointer-and-provenance,core/src/slice/mod.rs:760,core/src/slice/mod.rs,frozen_inputs/slice/rust-core-slice/mod.rs,58901fa6437dbd4d77c68427bbced0fc3a91a10fdb8bd2e233adf6a9ba27d2d5,99e25e7a86cc5c6b6b7557a4e100daf10a6be356072e931c8a093b6c6198dd9c,757,757,757,759,impl<T> [T] {,101,0,0,0,['raw_pointer_or_provenance'],39,1,no generated-target callees; allocator/raw-pointer boundary required,proof_manifests/019_core_slice_as_mut_ptr/source_body.json,proof_manifests/019_core_slice_as_mut_ptr/transformation_manifest.json,proof_manifests/019_core_slice_as_mut_ptr/dependency_assumption_manifest.json,proof_harnesses/019_core_slice_as_mut_ptr/harness.rs
20,slice,core::slice::as_mut_ptr_range,core::slice,core::slice::as_mut_ptr_range,raw-pointer-and-provenance,core/src/slice/mod.rs:839,core/src/slice/mod.rs,frozen_inputs/slice/rust-core-slice/mod.rs,58901fa6437dbd4d77c68427bbced0fc3a91a10fdb8bd2e233adf6a9ba27d2d5,55220e2d82364704a997a82d83801dc9c3b9cd696b3bfa33155b979609448b31,836,836,836,841,impl<T> [T] {,101,3,3,1,"['raw_pointer_or_provenance', 'unsafe']",102,2,depends on other generated targets,proof_manifests/020_core_slice_as_mut_ptr_range/source_body.json,proof_manifests/020_core_slice_as_mut_ptr_range/transformation_manifest.json,proof_manifests/020_core_slice_as_mut_ptr_range/dependency_assumption_manifest.json,proof_harnesses/020_core_slice_as_mut_ptr_range/harness.rs
