canonical_path,representative_display_path,modules,kinds,stability,declaration_count,source_locations,has_approximate_alias
alloc::collections::BTreeSet::first,alloc::collections::BTreeSet::first,alloc::collections;alloc::collections::btree_set;std::collections,inherent_method,stable,1,alloc/src/collections/btree/set.rs:792,False
alloc::collections::BTreeSet::get_or_insert,alloc::collections::BTreeSet::get_or_insert,alloc::collections;alloc::collections::btree_set;std::collections,inherent_method,unstable,1,alloc/src/collections/btree/set.rs:949,False
alloc::collections::BTreeSet::get_or_insert_with,alloc::collections::BTreeSet::get_or_insert_with,alloc::collections;alloc::collections::btree_set;std::collections,inherent_method,unstable,1,alloc/src/collections/btree/set.rs:978,False
alloc::collections::BTreeSet::intersection,alloc::collections::BTreeSet::intersection,alloc::collections;alloc::collections::btree_set;std::collections,inherent_method,stable,1,alloc/src/collections/btree/set.rs:516,False
alloc::collections::BTreeSet::is_disjoint,alloc::collections::BTreeSet::is_disjoint,alloc::collections;alloc::collections::btree_set;std::collections,inherent_method,stable,1,alloc/src/collections/btree/set.rs:658,False
alloc::collections::BTreeSet::is_subset,alloc::collections::BTreeSet::is_subset,alloc::collections;alloc::collections::btree_set;std::collections,inherent_method,stable,1,alloc/src/collections/btree/set.rs:684,False
alloc::collections::BTreeSet::is_superset,alloc::collections::BTreeSet::is_superset,alloc::collections;alloc::collections::btree_set;std::collections,inherent_method,stable,1,alloc/src/collections/btree/set.rs:765,False
alloc::collections::BTreeSet::last,alloc::collections::BTreeSet::last,alloc::collections;alloc::collections::btree_set;std::collections,inherent_method,stable,1,alloc/src/collections/btree/set.rs:819,False
alloc::collections::BTreeSet::lower_bound,alloc::collections::BTreeSet::lower_bound,alloc::collections;alloc::collections::btree_set;std::collections,inherent_method,unstable,1,alloc/src/collections/btree/set.rs:1331,False
alloc::collections::BTreeSet::lower_bound_mut,alloc::collections::BTreeSet::lower_bound_mut,alloc::collections;alloc::collections::btree_set;std::collections,inherent_method,unstable,1,alloc/src/collections/btree/set.rs:1374,False
alloc::collections::BTreeSet::new_in,alloc::collections::BTreeSet::new_in,alloc::collections;alloc::collections::btree_set;std::collections,inherent_method,unstable,1,alloc/src/collections/btree/set.rs:366,False
alloc::collections::BTreeSet::pop_first,alloc::collections::BTreeSet::pop_first,alloc::collections;alloc::collections::btree_set;std::collections,inherent_method,stable,1,alloc/src/collections/btree/set.rs:843,False
alloc::collections::BTreeSet::pop_last,alloc::collections::BTreeSet::pop_last,alloc::collections;alloc::collections::btree_set;std::collections,inherent_method,stable,1,alloc/src/collections/btree/set.rs:867,False
alloc::collections::BTreeSet::range,alloc::collections::BTreeSet::range,alloc::collections;alloc::collections::btree_set;std::collections,inherent_method,stable,1,alloc/src/collections/btree/set.rs:398,False
alloc::collections::BTreeSet::replace,alloc::collections::BTreeSet::replace,alloc::collections;alloc::collections::btree_set;std::collections,inherent_method,stable,1,alloc/src/collections/btree/set.rs:924,False
alloc::collections::BTreeSet::retain,alloc::collections::BTreeSet::retain,alloc::collections;alloc::collections::btree_set;std::collections,inherent_method,stable,1,alloc/src/collections/btree/set.rs:1102,False
alloc::collections::BTreeSet::split_off,alloc::collections::BTreeSet::split_off,alloc::collections;alloc::collections::btree_set;std::collections,inherent_method,stable,1,alloc/src/collections/btree/set.rs:1177,False
alloc::collections::BTreeSet::symmetric_difference,alloc::collections::BTreeSet::symmetric_difference,alloc::collections;alloc::collections::btree_set;std::collections,inherent_method,stable,1,alloc/src/collections/btree/set.rs:485,False
alloc::collections::BTreeSet::take,alloc::collections::BTreeSet::take,alloc::collections;alloc::collections::btree_set;std::collections,inherent_method,stable,1,alloc/src/collections/btree/set.rs:1078,False
alloc::collections::BTreeSet::union,alloc::collections::BTreeSet::union,alloc::collections;alloc::collections::btree_set;std::collections,inherent_method,stable,1,alloc/src/collections/btree/set.rs:563,False
alloc::collections::BTreeSet::upper_bound,alloc::collections::BTreeSet::upper_bound,alloc::collections;alloc::collections::btree_set;std::collections,inherent_method,unstable,1,alloc/src/collections/btree/set.rs:1417,False
alloc::collections::BTreeSet::upper_bound_mut,alloc::collections::BTreeSet::upper_bound_mut,alloc::collections;alloc::collections::btree_set;std::collections,inherent_method,unstable,1,alloc/src/collections/btree/set.rs:1460,False
alloc::collections::BinaryHeap::allocator,alloc::collections::BinaryHeap::allocator,alloc::collections;std::collections,inherent_method,unstable,1,alloc/src/collections/binary_heap/mod.rs:1424,False
alloc::collections::BinaryHeap::as_mut_slice,alloc::collections::BinaryHeap::as_mut_slice,alloc::collections;std::collections,inherent_method,unstable,1,alloc/src/collections/binary_heap/mod.rs:1394,False
alloc::collections::BinaryHeap::drain,alloc::collections::BinaryHeap::drain,alloc::collections;std::collections,inherent_method,stable,1,alloc/src/collections/binary_heap/mod.rs:1496,False
alloc::collections::BinaryHeap::drain_sorted,alloc::collections::BinaryHeap::drain_sorted,alloc::collections;std::collections,inherent_method,unstable,1,alloc/src/collections/binary_heap/mod.rs:1038,False
alloc::collections::BinaryHeap::from_raw_vec,alloc::collections::BinaryHeap::from_raw_vec,alloc::collections;std::collections,inherent_method,unstable,1,alloc/src/collections/binary_heap/mod.rs:615,False
alloc::collections::BinaryHeap::into_iter_sorted,alloc::collections::BinaryHeap::into_iter_sorted,alloc::collections;std::collections,inherent_method,unstable,1,alloc/src/collections/binary_heap/mod.rs:1120,False
alloc::collections::BinaryHeap::iter,alloc::collections::BinaryHeap::iter,alloc::collections;std::collections,inherent_method,stable,1,alloc/src/collections/binary_heap/mod.rs:1100,False
alloc::collections::BinaryHeap::new_in,alloc::collections::BinaryHeap::new_in,alloc::collections;std::collections,inherent_method,unstable,1,alloc/src/collections/binary_heap/mod.rs:557,False
alloc::collections::BinaryHeap::peek_mut,alloc::collections::BinaryHeap::peek_mut,alloc::collections;std::collections,inherent_method,stable,1,alloc/src/collections/binary_heap/mod.rs:651,False
alloc::collections::BinaryHeap::pop_if,alloc::collections::BinaryHeap::pop_if,alloc::collections;std::collections,inherent_method,unstable,1,alloc/src/collections/binary_heap/mod.rs:708,False
alloc::collections::BinaryHeap::retain,alloc::collections::BinaryHeap::retain,alloc::collections;std::collections,inherent_method,stable,1,alloc/src/collections/binary_heap/mod.rs:1061,False
alloc::collections::BinaryHeap::with_capacity_in,alloc::collections::BinaryHeap::with_capacity_in,alloc::collections;std::collections,inherent_method,unstable,1,alloc/src/collections/binary_heap/mod.rs:581,False
alloc::collections::LinkedList::back_mut,alloc::collections::LinkedList::back_mut,alloc::collections;alloc::collections::linked_list;std::collections,inherent_method,stable,1,alloc/src/collections/linked_list.rs:824,False
alloc::collections::LinkedList::cursor_back,alloc::collections::LinkedList::cursor_back,alloc::collections;alloc::collections::linked_list;std::collections,inherent_method,unstable,1,alloc/src/collections/linked_list.rs:599,False
alloc::collections::LinkedList::cursor_back_mut,alloc::collections::LinkedList::cursor_back_mut,alloc::collections;alloc::collections::linked_list;std::collections,inherent_method,unstable,1,alloc/src/collections/linked_list.rs:609,False
alloc::collections::LinkedList::cursor_front,alloc::collections::LinkedList::cursor_front,alloc::collections;alloc::collections::linked_list;std::collections,inherent_method,unstable,1,alloc/src/collections/linked_list.rs:579,False
alloc::collections::LinkedList::cursor_front_mut,alloc::collections::LinkedList::cursor_front_mut,alloc::collections;alloc::collections::linked_list;std::collections,inherent_method,unstable,1,alloc/src/collections/linked_list.rs:589,False
alloc::collections::LinkedList::extract_if,alloc::collections::LinkedList::extract_if,alloc::collections;alloc::collections::linked_list;std::collections,inherent_method,stable,1,alloc/src/collections/linked_list.rs:1164,False
alloc::collections::LinkedList::front_mut,alloc::collections::LinkedList::front_mut,alloc::collections;alloc::collections::linked_list;std::collections,inherent_method,stable,1,alloc/src/collections/linked_list.rs:773,False
alloc::collections::LinkedList::iter,alloc::collections::LinkedList::iter,alloc::collections;alloc::collections::linked_list;std::collections,inherent_method,stable,1,alloc/src/collections/linked_list.rs:540,False
alloc::collections::LinkedList::iter_mut,alloc::collections::LinkedList::iter_mut,alloc::collections;alloc::collections::linked_list;std::collections,inherent_method,stable,1,alloc/src/collections/linked_list.rs:569,False
alloc::collections::LinkedList::new_in,alloc::collections::LinkedList::new_in,alloc::collections;alloc::collections::linked_list;std::collections,inherent_method,unstable,1,alloc/src/collections/linked_list.rs:516,False
alloc::collections::LinkedList::push_back_mut,alloc::collections::LinkedList::push_back_mut,alloc::collections;alloc::collections::linked_list;std::collections,inherent_method,stable,1,alloc/src/collections/linked_list.rs:938,False
alloc::collections::LinkedList::push_front_mut,alloc::collections::LinkedList::push_front_mut,alloc::collections;alloc::collections::linked_list;std::collections,inherent_method,stable,1,alloc/src/collections/linked_list.rs:867,False
alloc::collections::LinkedList::remove,alloc::collections::LinkedList::remove,alloc::collections;alloc::collections::linked_list;std::collections,inherent_method,unstable,1,alloc/src/collections/linked_list.rs:1054,False
alloc::collections::LinkedList::retain,alloc::collections::LinkedList::retain,alloc::collections;alloc::collections::linked_list;std::collections,inherent_method,unstable,1,alloc/src/collections/linked_list.rs:1120,False
alloc::collections::TryReserveError::kind,alloc::collections::TryReserveError::kind,alloc::collections;std::collections,inherent_method,unstable,1,alloc/src/collections/mod.rs:89,False
alloc::collections::VecDeque::allocator,alloc::collections::VecDeque::allocator,alloc::collections;alloc::collections::vec_deque;std::collections,inherent_method,unstable,1,alloc/src/collections/vec_deque/mod.rs:1548,False
alloc::collections::VecDeque::as_mut_slices,alloc::collections::VecDeque::as_mut_slices,alloc::collections;alloc::collections::vec_deque;std::collections,inherent_method,stable,1,alloc/src/collections/vec_deque/mod.rs:1682,False
alloc::collections::VecDeque::back_mut,alloc::collections::VecDeque::back_mut,alloc::collections;alloc::collections::vec_deque;std::collections,inherent_method,stable,1,alloc/src/collections/vec_deque/mod.rs:2113,False
alloc::collections::VecDeque::binary_search,alloc::collections::VecDeque::binary_search,alloc::collections;alloc::collections::vec_deque;std::collections,inherent_method,stable,1,alloc/src/collections/vec_deque/mod.rs:3201,False
alloc::collections::VecDeque::binary_search_by,alloc::collections::VecDeque::binary_search_by,alloc::collections;alloc::collections::vec_deque;std::collections,inherent_method,stable,1,alloc/src/collections/vec_deque/mod.rs:3247,False
alloc::collections::VecDeque::binary_search_by_key,alloc::collections::VecDeque::binary_search_by_key,alloc::collections;alloc::collections::vec_deque;std::collections,inherent_method,stable,1,alloc/src/collections/vec_deque/mod.rs:3305,False
alloc::collections::VecDeque::drain,alloc::collections::VecDeque::drain,alloc::collections;alloc::collections::vec_deque;std::collections,inherent_method,stable,1,alloc/src/collections/vec_deque/mod.rs:1878,False
