module,display_path,canonical_path,origin_path,kind,declaration_id,stability,since,is_const,is_unsafe,is_async,abi,source_file,source_line,alias_approximate
core::arch::x86,core::arch::x86::_mm256_mask_max_epu16,core::arch::x86::_mm256_mask_max_epu16,core::core_arch::x86::avx512bw::_mm256_mask_max_epu16,free_function,core:42861,stable,1.89.0,True,False,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512bw.rs,1937,False
core::arch::x86,core::arch::x86::_mm256_mask_max_epu32,core::arch::x86::_mm256_mask_max_epu32,core::core_arch::x86::avx512f::_mm256_mask_max_epu32,free_function,core:40035,stable,1.89.0,True,False,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512f.rs,2721,False
core::arch::x86,core::arch::x86::_mm256_mask_max_epu64,core::arch::x86::_mm256_mask_max_epu64,core::core_arch::x86::avx512f::_mm256_mask_max_epu64,free_function,core:40043,stable,1.89.0,True,False,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512f.rs,2835,False
core::arch::x86,core::arch::x86::_mm256_mask_max_epu8,core::arch::x86::_mm256_mask_max_epu8,core::core_arch::x86::avx512bw::_mm256_mask_max_epu8,free_function,core:42868,stable,1.89.0,True,False,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512bw.rs,2039,False
core::arch::x86,core::arch::x86::_mm256_mask_max_pd,core::arch::x86::_mm256_mask_max_pd,core::core_arch::x86::avx512f::_mm256_mask_max_pd,free_function,core:40028,stable,1.89.0,False,False,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512f.rs,2622,False
core::arch::x86,core::arch::x86::_mm256_mask_max_ph,core::arch::x86::_mm256_mask_max_ph,core::core_arch::x86::avx512fp16::_mm256_mask_max_ph,free_function,core:44904,stable,1.94.0,False,False,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512fp16.rs,8570,False
core::arch::x86,core::arch::x86::_mm256_mask_max_ps,core::arch::x86::_mm256_mask_max_ps,core::core_arch::x86::avx512f::_mm256_mask_max_ps,free_function,core:40021,stable,1.89.0,False,False,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512f.rs,2527,False
core::arch::x86,core::arch::x86::_mm256_mask_min_epi16,core::arch::x86::_mm256_mask_min_epi16,core::core_arch::x86::avx512bw::_mm256_mask_min_epi16,free_function,core:42903,stable,1.89.0,True,False,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512bw.rs,2549,False
core::arch::x86,core::arch::x86::_mm256_mask_min_epi32,core::arch::x86::_mm256_mask_min_epi32,core::core_arch::x86::avx512f::_mm256_mask_min_epi32,free_function,core:40051,stable,1.89.0,True,False,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512f.rs,2949,False
core::arch::x86,core::arch::x86::_mm256_mask_min_epi64,core::arch::x86::_mm256_mask_min_epi64,core::core_arch::x86::avx512f::_mm256_mask_min_epi64,free_function,core:40059,stable,1.89.0,True,False,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512f.rs,3063,False
core::arch::x86,core::arch::x86::_mm256_mask_min_epi8,core::arch::x86::_mm256_mask_min_epi8,core::core_arch::x86::avx512bw::_mm256_mask_min_epi8,free_function,core:42910,stable,1.89.0,True,False,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512bw.rs,2651,False
core::arch::x86,core::arch::x86::_mm256_mask_min_epu16,core::arch::x86::_mm256_mask_min_epu16,core::core_arch::x86::avx512bw::_mm256_mask_min_epu16,free_function,core:42889,stable,1.89.0,True,False,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512bw.rs,2345,False
core::arch::x86,core::arch::x86::_mm256_mask_min_epu32,core::arch::x86::_mm256_mask_min_epu32,core::core_arch::x86::avx512f::_mm256_mask_min_epu32,free_function,core:40081,stable,1.89.0,True,False,False,Rust,core/src/../../stdarch/crates/core_arch/src/x86/avx512f.rs,3373,False
